Train accuracy,Test accuracy
92.82666666666667,92.92
94.57666666666667,94.53
94.14,93.56
95.16333333333333,94.68
95.97166666666666,95.44
95.33666666666667,95.03
95.86166666666666,95.24
96.505,95.85
95.83,95.34
96.16333333333333,95.61
95.955,95.31
96.41333333333333,95.6
96.355,95.64
96.815,95.74
96.70833333333333,96.02
96.89333333333333,96.2
96.72166666666666,95.9
96.68333333333334,95.74
95.36166666666666,94.99
96.54,95.58
96.31666666666666,95.47
96.75166666666667,96.05
96.26,95.55
96.28833333333333,95.08
96.50333333333333,95.53
96.18666666666667,95.33
96.75666666666666,95.67
95.41666666666667,94.5
94.80666666666667,94.17
96.70166666666667,95.63
96.91666666666667,96.1
97.15166666666667,96.17
96.55166666666666,95.56
96.16166666666666,95.53
95.48166666666667,94.91
96.21166666666667,94.96
96.52666666666667,95.7
95.86333333333333,94.82
96.53,95.44
95.90166666666667,95.12
96.11,95.12
96.385,95.56
94.71833333333333,93.92
97.10333333333334,96.06
96.64,95.68
96.31,95.62
95.795,94.79
96.64333333333333,95.39
96.77833333333334,95.89
94.90666666666667,94.15
95.11666666666666,94.28
97.07,96.14
97.45333333333333,96.17
97.36833333333334,96.08
98.05666666666667,96.58
97.64333333333333,96.5
97.305,96.17
97.65333333333334,96.66
97.60333333333334,96.43
97.315,96.3
97.62833333333333,96.24
97.66166666666666,96.52
96.81,95.28
97.425,96.14
97.78666666666666,96.46
97.98833333333333,96.62
96.54166666666667,95.49
97.56333333333333,96.2
97.3,96.13
97.66333333333333,96.44
97.965,96.85
97.895,96.88
97.71666666666667,96.35
98.035,96.73
97.17833333333333,95.78
97.375,95.97
97.0,95.71
97.28333333333333,95.95
97.99,96.57
97.815,96.66
97.25833333333334,95.77
97.88,96.65
97.33166666666666,96.1
97.79166666666667,96.56
97.92833333333333,96.58
97.57,96.4
97.18333333333334,96.05
97.37666666666667,95.99
96.72333333333333,95.5
98.09333333333333,96.75
97.73333333333333,96.54
96.48166666666667,95.21
97.61333333333333,96.42
97.14166666666667,96.05
97.285,96.26
97.55,96.35
97.175,95.75
97.60166666666667,96.14
96.935,95.6
97.53833333333333,96.37
97.96666666666667,96.78
98.04833333333333,96.68
98.44666666666667,96.97
98.635,97.18
98.37666666666667,96.9
98.61166666666666,96.96
98.29833333333333,96.8
98.35166666666667,96.66
98.63,97.19
98.42833333333333,97.01
98.37666666666667,96.99
98.65833333333333,97.1
98.51,97.08
98.785,97.29
98.66,97.1
98.63166666666666,97.03
98.81666666666666,97.2
98.62833333333333,97.09
98.44,96.92
98.545,97.25
98.79833333333333,97.1
98.51666666666667,97.02
98.82833333333333,97.2
98.58666666666667,97.11
98.46333333333334,96.75
98.60666666666667,97.0
98.76833333333333,97.06
98.55833333333334,97.05
98.66666666666667,97.06
98.79333333333334,97.31
98.57833333333333,97.0
98.30666666666667,96.88
98.835,97.15
98.81333333333333,97.02
98.725,97.2
98.72166666666666,97.11
98.49666666666667,97.05
98.72166666666666,97.14
98.69333333333333,97.1
98.51333333333334,96.88
98.29,96.71
98.66666666666667,96.96
98.57166666666667,97.12
98.78166666666667,97.23
98.60666666666667,97.04
98.63166666666666,97.09
98.38833333333334,96.87
98.715,96.99
98.45833333333333,96.82
98.73333333333333,97.1
99.065,97.47
99.02,97.36
99.03,97.38
99.11833333333334,97.41
99.00166666666667,97.34
99.10666666666667,97.34
99.21,97.46
99.18666666666667,97.43
99.13833333333334,97.33
99.19333333333333,97.46
99.01666666666667,97.17
99.175,97.59
99.23166666666667,97.23
99.07166666666667,97.34
99.29166666666667,97.37
99.10833333333333,97.45
99.13333333333334,97.33
99.315,97.47
99.28833333333333,97.5
99.06166666666667,97.34
99.225,97.33
99.22666666666667,97.42
99.31,97.62
