Train accuracy,Test accuracy
92.95833333333333,92.5
95.07666666666667,94.86
96.36,95.62
95.71833333333333,95.11
97.12166666666667,96.15
96.615,95.72
97.40666666666667,96.54
97.625,96.46
97.07833333333333,95.88
97.65333333333334,96.64
97.7,96.84
97.77333333333333,96.77
97.52166666666666,96.43
97.45,96.82
97.92833333333333,96.95
97.31166666666667,96.26
97.32,96.2
97.65833333333333,96.48
96.83333333333333,95.51
97.575,96.41
98.01833333333333,96.85
97.90833333333333,96.77
97.89666666666666,96.6
97.99333333333334,96.71
97.98666666666666,96.7
97.38166666666666,96.25
96.11166666666666,95.01
98.07666666666667,96.84
95.82333333333334,94.81
96.79666666666667,95.99
94.29833333333333,93.41
97.61666666666666,96.51
95.62166666666667,94.51
96.88833333333334,95.72
97.685,96.44
96.18333333333334,95.12
97.89833333333333,96.57
97.45666666666666,96.21
96.46,95.59
95.75833333333334,94.62
96.33333333333333,95.4
95.10666666666667,93.83
97.62833333333333,96.43
97.91166666666666,96.52
96.83333333333333,95.78
95.38833333333334,94.11
95.705,94.34
92.90166666666667,91.88
95.485,94.13
97.695,96.58
95.75833333333334,94.64
98.22,96.95
98.08666666666667,96.75
98.15666666666667,96.87
98.195,97.02
96.415,95.09
98.1,96.6
98.37166666666667,97.19
98.02333333333333,96.63
97.26333333333334,95.81
98.39833333333333,97.05
98.52833333333334,97.05
98.295,96.91
98.47333333333333,97.15
97.64833333333333,96.44
98.30166666666666,96.46
98.62,97.05
97.59666666666666,96.11
97.28,95.74
98.85833333333333,97.31
98.84833333333333,97.14
98.365,96.93
98.48,96.87
98.685,97.35
98.68833333333333,97.28
98.145,96.66
98.45833333333333,96.85
96.80333333333333,95.4
97.915,96.37
97.63666666666667,95.98
98.08666666666667,96.57
97.95166666666667,96.44
97.79,96.39
98.92333333333333,97.24
98.48166666666667,97.02
98.41833333333334,96.81
97.72666666666667,96.35
98.58666666666667,97.22
98.59333333333333,97.27
98.79,97.3
98.35833333333333,96.87
98.69166666666666,97.25
98.43166666666667,96.97
98.735,97.38
98.86166666666666,97.33
97.77,96.23
98.54833333333333,97.12
98.19833333333334,96.74
98.42833333333333,96.7
97.38,96.15
98.53,96.87
98.84166666666667,97.18
98.175,96.45
98.82833333333333,97.2
99.24,97.63
99.205,97.53
99.13333333333334,97.5
99.30666666666667,97.82
99.23666666666666,97.65
99.195,97.4
99.11666666666666,97.5
99.195,97.28
99.10166666666667,97.39
99.20833333333333,97.81
99.10833333333333,97.6
99.45166666666667,97.82
99.4,97.79
99.20833333333333,97.59
99.16333333333333,97.18
98.91666666666667,97.1
99.49666666666667,97.94
99.17666666666666,97.5
99.40333333333334,97.77
99.275,97.45
99.235,97.6
99.37166666666667,97.51
99.07333333333334,97.41
99.35833333333333,97.66
99.43166666666667,97.59
98.78166666666667,97.16
99.14333333333333,97.36
98.555,96.69
99.40333333333334,97.66
99.35333333333334,97.63
99.375,97.63
99.00666666666666,97.2
98.95666666666666,97.19
99.25666666666666,97.5
99.3,97.41
99.22166666666666,97.34
99.32333333333334,97.61
99.37,97.71
99.335,97.6
99.24333333333334,97.55
98.97833333333334,97.2
99.015,97.21
99.35166666666667,97.7
99.29666666666667,97.62
99.33,97.71
98.94333333333333,97.36
99.41666666666667,97.6
99.27333333333333,97.43
99.285,97.56
99.40166666666667,97.69
99.535,97.72
99.54166666666667,97.82
99.59833333333333,97.79
99.59833333333333,97.78
99.53666666666666,97.77
99.635,97.88
99.59666666666666,98.08
99.66166666666666,97.96
99.73,97.94
99.56833333333333,97.78
99.595,97.95
99.71166666666667,97.96
99.71666666666667,97.79
99.60833333333333,97.83
99.70666666666666,97.76
99.69333333333333,97.84
99.64833333333333,97.78
99.57,97.85
99.68833333333333,97.95
99.715,97.9
99.70333333333333,97.84
99.705,97.98
99.62333333333333,97.73
99.735,97.94
99.73,98.0
99.73833333333333,97.89
99.68333333333334,97.85
99.665,97.75
99.66666666666667,97.8
99.67,97.82
99.71,97.83
99.69833333333334,98.01
99.68333333333334,97.92
99.70333333333333,97.97
